t 1 2 jL0100 
5.2 1.3389 -1.32874 -3.85
5.22 1.28845 -1.35238 -3.87627
5.24 1.23795 -1.3756 -3.90153
5.26 1.18741 -1.39839 -3.92579
5.28 1.13685 -1.42076 -3.94903
5.3 1.08629 -1.44269 -3.97126
5.32 1.03572 -1.46419 -3.99248
5.34 0.985158 -1.48526 -4.01269
5.36 0.934622 -1.50588 -4.03189
5.38 0.884121 -1.52606 -4.05008
5.4 0.833665 -1.5458 -4.06725
5.42 0.783267 -1.56509 -4.08342
5.44 0.732936 -1.58393 -4.09859
5.46 0.682684 -1.60232 -4.11274
5.48 0.632522 -1.62025 -4.12589
5.5 0.582462 -1.63773 -4.13804
5.52 0.532513 -1.65475 -4.14919
5.54 0.482688 -1.67132 -4.15934
5.56 0.432996 -1.68742 -4.1685
5.58 0.383448 -1.70306 -4.17667
5.6 0.334055 -1.71824 -4.18384
5.62 0.284828 -1.73296 -4.19003
5.64 0.235776 -1.74721 -4.19523
5.66 0.18691 -1.76099 -4.19946
5.68 0.13824 -1.77431 -4.20271
5.7 0.0897772 -1.78715 -4.20499
5.72 0.0415303 -1.79953 -4.2063
5.74 -0.00649039 -1.81144 -4.20665
5.76 -0.054275 -1.82288 -4.20605
5.78 -0.101814 -1.83385 -4.20449
5.8 -0.149097 -1.84435 -4.20198
5.82 -0.196115 -1.85438 -4.19852
5.84 -0.242859 -1.86394 -4.19413
5.86 -0.28932 -1.87303 -4.18881
5.88 -0.335487 -1.88165 -4.18256
5.9 -0.381353 -1.8898 -4.17539
5.92 -0.426908 -1.89749 -4.16731
5.94 -0.472143 -1.9047 -4.15832
5.96 -0.51705 -1.91144 -4.14843
5.98 -0.56162 -1.91772 -4.13764
6 -0.605844 -1.92353 -4.12596
6.02 -0.649714 -1.92888 -4.11341
6.04 -0.693222 -1.93376 -4.09998
6.06 -0.73636 -1.93818 -4.08568
6.08 -0.77912 -1.94213 -4.07053
6.1 -0.821494 -1.94563 -4.05452
6.12 -0.863473 -1.94866 -4.03767
6.14 -0.905051 -1.95124 -4.01998
6.16 -0.94622 -1.95336 -4.00147
6.18 -0.986973 -1.95503 -3.98214
6.2 -1.0273 -1.95625 -3.96199
6.22 -1.0672 -1.95701 -3.94105
6.24 -1.10666 -1.95733 -3.91931
6.26 -1.14568 -1.9572 -3.89678
6.28 -1.18424 -1.95662 -3.87348
6.3 -1.22235 -1.95561 -3.84942
6.32 -1.25999 -1.95415 -3.82459
6.34 -1.29717 -1.95226 -3.79902
6.36 -1.33386 -1.94993 -3.77271
6.38 -1.37007 -1.94718 -3.74567
6.4 -1.4058 -1.94399 -3.71791
6.42 -1.44103 -1.94037 -3.68944
6.44 -1.47576 -1.93634 -3.66027
6.46 -1.50998 -1.93188 -3.63041
6.48 -1.5437 -1.927 -3.59988
6.5 -1.5769 -1.92171 -3.56867
6.52 -1.60958 -1.91601 -3.5368
6.54 -1.64173 -1.90991 -3.50429
6.56 -1.67335 -1.90339 -3.47114
6.58 -1.70444 -1.89648 -3.43736
6.6 -1.73498 -1.88917 -3.40296
6.62 -1.76499 -1.88147 -3.36796
6.64 -1.79444 -1.87337 -3.33237
6.66 -1.82335 -1.86489 -3.29619
6.68 -1.85169 -1.85603 -3.25944
6.7 -1.87948 -1.84679 -3.22213
6.72 -1.9067 -1.83717 -3.18426
6.74 -1.93336 -1.82719 -3.14586
6.76 -1.95945 -1.81684 -3.10693
6.78 -1.98497 -1.80612 -3.06749
6.8 -2.0099 -1.79505 -3.02754
6.82 -2.03426 -1.78362 -2.98709
6.84 -2.05804 -1.77184 -2.94617
6.86 -2.08124 -1.75972 -2.90478
6.88 -2.10384 -1.74726 -2.86293
6.9 -2.12586 -1.73446 -2.82063
6.92 -2.14729 -1.72133 -2.77789
6.94 -2.16812 -1.70787 -2.73474
6.96 -2.18836 -1.69409 -2.69117
6.98 -2.20801 -1.67999 -2.64721
7 -2.22705 -1.66558 -2.60286
7.02 -2.2455 -1.65086 -2.55813
7.04 -2.26334 -1.63584 -2.51304
7.06 -2.28059 -1.62052 -2.4676
7.08 -2.29723 -1.6049 -2.42182
7.1 -2.31326 -1.589 -2.37572
7.12 -2.32869 -1.57281 -2.3293
7.14 -2.34352 -1.55635 -2.28257
7.16 -2.35774 -1.53961 -2.23556
7.18 -2.37136 -1.5226 -2.18827
7.2 -2.38437 -1.50533 -2.14071
7.22 -2.39677 -1.48781 -2.0929
7.24 -2.40857 -1.47003 -2.04484
7.26 -2.41977 -1.452 -1.99656
7.28 -2.43036 -1.43373 -1.94805
7.3 -2.44034 -1.41523 -1.89935
7.32 -2.44972 -1.39649 -1.85045
7.34 -2.4585 -1.37753 -1.80136
7.36 -2.46667 -1.35834 -1.75211
7.38 -2.47425 -1.33894 -1.7027
7.4 -2.48123 -1.31934 -1.65314
7.42 -2.4876 -1.29953 -1.60345
7.44 -2.49338 -1.27951 -1.55364
7.46 -2.49857 -1.25931 -1.50372
7.48 -2.50316 -1.23892 -1.4537
7.5 -2.50716 -1.21835 -1.4036
7.52 -2.51057 -1.1976 -1.35342
7.54 -2.51339 -1.17668 -1.30318
7.56 -2.51563 -1.15559 -1.25289
7.58 -2.51729 -1.13435 -1.20256
7.6 -2.51836 -1.11295 -1.1522
7.62 -2.51886 -1.0914 -1.10183
7.64 -2.51878 -1.06971 -1.05145
7.66 -2.51813 -1.04789 -1.00108
7.68 -2.51691 -1.02593 -0.950731
7.7 -2.51512 -1.00384 -0.900409
7.72 -2.51277 -0.981638 -0.85013
7.74 -2.50986 -0.959319 -0.799902
7.76 -2.5064 -0.93689 -0.749739
7.78 -2.50238 -0.914359 -0.69965
7.8 -2.49781 -0.891729 -0.649647
7.82 -2.4927 -0.869008 -0.599741
7.84 -2.48704 -0.8462 -0.549943
7.86 -2.48085 -0.823312 -0.500263
7.88 -2.47412 -0.800348 -0.450713
7.9 -2.46686 -0.777314 -0.401302
7.92 -2.45908 -0.754217 -0.352042
7.94 -2.45078 -0.73106 -0.302942
7.96 -2.44196 -0.707851 -0.254014
7.98 -2.43262 -0.684595 -0.205268
8 -2.42279 -0.661296 -0.156713
8.02 -2.41244 -0.637961 -0.10836
8.04 -2.4016 -0.614596 -0.0602182
8.06 -2.39027 -0.591204 -0.0122987
8.08 -2.37845 -0.567793 0.0353893
8.1 -2.36614 -0.544367 0.082836
8.12 -2.35336 -0.520932 0.130032
8.14 -2.34011 -0.497493 0.176967
8.16 -2.32639 -0.474056 0.223633
8.18 -2.3122 -0.450625 0.27002
8.2 -2.29756 -0.427207 0.316118
8.22 -2.28247 -0.403806 0.361919
8.24 -2.26693 -0.380427 0.407414
8.26 -2.25096 -0.357077 0.452594
8.28 -2.23455 -0.333759 0.497449
8.3 -2.21771 -0.31048 0.541973
8.32 -2.20045 -0.287243 0.586155
8.34 -2.18278 -0.264056 0.629988
8.36 -2.16469 -0.240921 0.673463
8.38 -2.14621 -0.217845 0.716573
8.4 -2.12732 -0.194832 0.759309
8.42 -2.10804 -0.171888 0.801663
8.44 -2.08838 -0.149016 0.843628
8.46 -2.06834 -0.126223 0.885196
8.48 -2.04792 -0.103512 0.926359
8.5 -2.02715 -0.0808891 0.96711
8.52 -2.00601 -0.0583582 1.00744
8.54 -1.98452 -0.0359243 1.04735
8.56 -1.96268 -0.0135919 1.08682
8.58 -1.9405 0.00863437 1.12585
8.6 -1.91799 0.03075 1.16444
8.62 -1.89516 0.0527504 1.20257
8.64 -1.872 0.0746313 1.24024
8.66 -1.84853 0.0963882 1.27745
8.68 -1.82476 0.118017 1.31418
8.7 -1.80069 0.139513 1.35044
8.72 -1.77633 0.160872 1.38621
8.74 -1.75168 0.18209 1.42149
8.76 -1.72675 0.203163 1.45627
8.78 -1.70156 0.224086 1.49056
8.8 -1.6761 0.244857 1.52433
8.82 -1.65038 0.26547 1.5576
8.84 -1.62441 0.285922 1.59035
8.86 -1.5982 0.306209 1.62257
8.88 -1.57176 0.326327 1.65427
8.9 -1.54509 0.346272 1.68544
8.92 -1.5182 0.366042 1.71608
8.94 -1.49109 0.385631 1.74617
8.96 -1.46378 0.405037 1.77572
8.98 -1.43627 0.424255 1.80472
9 -1.40856 0.443284 1.83317
9.02 -1.38067 0.462118 1.86106
9.04 -1.35261 0.480756 1.88839
9.06 -1.32437 0.499193 1.91516
9.08 -1.29597 0.517426 1.94137
9.1 -1.26741 0.535452 1.967
9.12 -1.23871 0.553269 1.99206
9.14 -1.20986 0.570872 2.01655
9.16 -1.18089 0.58826 2.04046
9.18 -1.15178 0.605429 2.06378
9.2 -1.12255 0.622376 2.08653
9.22 -1.09322 0.639099 2.10868
9.24 -1.06377 0.655594 2.13025
9.26 -1.03423 0.67186 2.15123
9.28 -1.0046 0.687894 2.17162
9.3 -0.974885 0.703693 2.19142
9.32 -0.945094 0.719255 2.21062
9.34 -0.915233 0.734577 2.22922
9.36 -0.88531 0.749657 2.24723
9.38 -0.855332 0.764492 2.26463
9.4 -0.825307 0.779082 2.28144
9.42 -0.795241 0.793423 2.29765
9.44 -0.76514 0.807513 2.31325
9.46 -0.735013 0.821351 2.32825
9.48 -0.704867 0.834934 2.34265
9.5 -0.674707 0.848262 2.35645
9.52 -0.644542 0.861331 2.36964
9.54 -0.614377 0.87414 2.38223
9.56 -0.58422 0.886688 2.39421
9.58 -0.554078 0.898973 2.4056
9.6 -0.523958 0.910994 2.41638
9.62 -0.493865 0.922748 2.42655
9.64 -0.463808 0.934235 2.43613
9.66 -0.433792 0.945454 2.44511
9.68 -0.403824 0.956403 2.45348
9.7 -0.373911 0.967081 2.46126
9.72 -0.344059 0.977487 2.46844
9.74 -0.314275 0.987619 2.47502
9.76 -0.284565 0.997478 2.48101
9.78 -0.254936 1.00706 2.48641
9.8 -0.225393 1.01637 2.49121
9.82 -0.195944 1.0254 2.49542
9.84 -0.166594 1.03415 2.49905
9.86 -0.13735 1.04263 2.50209
9.88 -0.108218 1.05083 2.50454
9.9 -0.0792036 1.05874 2.50642
9.92 -0.0503131 1.06638 2.50771
9.94 -0.0215525 1.07374 2.50843
9.96 0.00707242 1.08082 2.50857
9.98 0.0355557 1.08762 2.50815
10 0.0638916 1.09414 2.50715
10.02 0.0920745 1.10037 2.50559
10.04 0.120099 1.10633 2.50347
10.06 0.147958 1.11201 2.50079
10.08 0.175648 1.1174 2.49755
10.1 0.203162 1.12252 2.49377
10.12 0.230496 1.12735 2.48943
10.14 0.257644 1.13191 2.48455
10.16 0.2846 1.13618 2.47912
10.18 0.31136 1.14018 2.47316
10.2 0.337918 1.14389 2.46667
10.22 0.364269 1.14733 2.45965
10.24 0.390409 1.15049 2.4521
10.26 0.416332 1.15338 2.44403
10.28 0.442034 1.15598 2.43545
10.3 0.467509 1.15832 2.42635
10.32 0.492754 1.16037 2.41675
10.34 0.517763 1.16216 2.40665
10.36 0.542532 1.16367 2.39604
10.38 0.567056 1.16491 2.38495
10.4 0.591332 1.16587 2.37336
10.42 0.615354 1.16657 2.36129
10.44 0.639119 1.167 2.34875
10.46 0.662623 1.16716 2.33573
10.48 0.685861 1.16706 2.32225
10.5 0.708829 1.16669 2.3083
10.52 0.731524 1.16605 2.29389
10.54 0.753942 1.16516 2.27904
10.56 0.776078 1.164 2.26374
10.58 0.79793 1.16259 2.248
10.6 0.819493 1.16092 2.23182
10.62 0.840765 1.15899 2.21522
10.64 0.861741 1.15681 2.1982
10.66 0.882419 1.15437 2.18075
10.68 0.902796 1.15169 2.1629
10.7 0.922867 1.14875 2.14464
10.72 0.94263 1.14557 2.12599
10.74 0.962082 1.14215 2.10694
10.76 0.981221 1.13848 2.08751
10.78 1.00004 1.13457 2.06769
10.8 1.01854 1.13042 2.04751
10.82 1.03672 1.12604 2.02695
10.84 1.05458 1.12142 2.00604
10.86 1.07211 1.11657 1.98477
10.88 1.08931 1.11149 1.96316
10.9 1.10618 1.10618 1.9412
10.92 1.12271 1.10064 1.91891
10.94 1.13891 1.09488 1.8963
10.96 1.15476 1.0889 1.87336
10.98 1.17028 1.0827 1.85011
11 1.18546 1.07629 1.82655
11.02 1.20029 1.06966 1.80269
11.04 1.21478 1.06283 1.77854
11.06 1.22892 1.05578 1.7541
11.08 1.24271 1.04853 1.72939
11.1 1.25615 1.04107 1.7044
11.12 1.26925 1.03342 1.67914
11.14 1.28198 1.02557 1.65363
11.16 1.29437 1.01752 1.62787
11.18 1.3064 1.00928 1.60186
