t 1 2 jL0100 
5.5 0.598105 -1.57576 -4.00268 
5.52 0.549678 -1.59234 -4.01367 
5.54 0.501373 -1.60847 -4.0237 
5.56 0.453201 -1.62416 -4.03277 
5.58 0.405172 -1.6394 -4.04087 
5.6 0.357295 -1.65419 -4.04802 
5.62 0.309582 -1.66854 -4.05421 
5.64 0.262042 -1.68243 -4.05945 
5.66 0.214684 -1.69587 -4.06374 
5.68 0.167519 -1.70886 -4.06709 
5.7 0.120557 -1.72139 -4.0695 
5.72 0.0738071 -1.73347 -4.07098 
5.74 0.0272785 -1.7451 -4.07152 
5.76 -0.019019 -1.75627 -4.07114 
5.78 -0.0650761 -1.76699 -4.06984 
5.8 -0.110884 -1.77725 -4.06762 
5.82 -0.156432 -1.78706 -4.0645 
5.84 -0.201713 -1.79641 -4.06046 
5.86 -0.246718 -1.80531 -4.05553 
5.88 -0.291437 -1.81375 -4.0497 
5.9 -0.335861 -1.82174 -4.04298 
5.92 -0.379984 -1.82928 -4.03538 
5.94 -0.423794 -1.83636 -4.02691 
5.96 -0.467286 -1.84299 -4.01756 
5.98 -0.510449 -1.84917 -4.00735 
6 -0.553277 -1.8549 -3.99629 
6.02 -0.595761 -1.86018 -3.98437 
6.04 -0.637893 -1.86502 -3.97161 
6.06 -0.679665 -1.8694 -3.95802 
6.08 -0.72107 -1.87334 -3.9436 
6.1 -0.762101 -1.87683 -3.92836 
6.12 -0.802749 -1.87988 -3.9123 
6.14 -0.843008 -1.88249 -3.89544 
6.16 -0.882871 -1.88466 -3.87778 
6.18 -0.922329 -1.88639 -3.85934 
6.2 -0.961378 -1.88769 -3.84011 
6.22 -1.00001 -1.88855 -3.82011 
6.24 -1.03822 -1.88898 -3.79934 
6.26 -1.07599 -1.88897 -3.77783 
6.28 -1.11333 -1.88854 -3.75556 
6.3 -1.15023 -1.88769 -3.73255 
6.32 -1.18668 -1.88641 -3.70882 
6.34 -1.22267 -1.88471 -3.68437 
6.36 -1.25821 -1.88259 -3.6592 
6.38 -1.29327 -1.88005 -3.63334 
6.4 -1.32786 -1.8771 -3.60678 
6.42 -1.36198 -1.87374 -3.57954 
6.44 -1.39561 -1.86998 -3.55163 
6.46 -1.42876 -1.86581 -3.52305 
6.48 -1.46141 -1.86123 -3.49382 
6.5 -1.49356 -1.85626 -3.46395 
6.52 -1.52522 -1.85089 -3.43345 
6.54 -1.55636 -1.84514 -3.40232 
6.56 -1.58699 -1.83899 -3.37058 
6.58 -1.61711 -1.83245 -3.33824 
6.6 -1.6467 -1.82554 -3.30531 
6.62 -1.67577 -1.81824 -3.27179 
6.64 -1.70432 -1.81058 -3.2377 
6.66 -1.73233 -1.80254 -3.20306 
6.68 -1.7598 -1.79413 -3.16786 
6.7 -1.78674 -1.78536 -3.13213 
6.72 -1.81313 -1.77622 -3.09586 
6.74 -1.83898 -1.76674 -3.05908 
6.76 -1.86427 -1.7569 -3.0218 
6.78 -1.88902 -1.74671 -2.98402 
6.8 -1.91321 -1.73618 -2.94575 
6.82 -1.93685 -1.7253 -2.90702 
6.84 -1.95992 -1.7141 -2.86782 
6.86 -1.98243 -1.70256 -2.82817 
6.88 -2.00438 -1.69069 -2.78808 
6.9 -2.02576 -1.6785 -2.74757 
6.92 -2.04657 -1.666 -2.70664 
6.94 -2.06682 -1.65318 -2.6653 
6.96 -2.08649 -1.64005 -2.62357 
6.98 -2.10558 -1.62661 -2.58146 
7 -2.12411 -1.61287 -2.53898 
7.02 -2.14205 -1.59884 -2.49614 
7.04 -2.15942 -1.58452 -2.45295 
7.06 -2.17621 -1.56991 -2.40942 
7.08 -2.19242 -1.55502 -2.36557 
7.1 -2.20805 -1.53986 -2.32141 
7.12 -2.2231 -1.52442 -2.27695 
7.14 -2.23757 -1.50872 -2.2322 
7.16 -2.25146 -1.49275 -2.18717 
7.18 -2.26477 -1.47653 -2.14188 
7.2 -2.27749 -1.46005 -2.09633 
7.22 -2.28964 -1.44333 -2.05053 
7.24 -2.3012 -1.42636 -2.00451 
7.26 -2.31218 -1.40916 -1.95826 
7.28 -2.32258 -1.39173 -1.91181 
7.3 -2.33241 -1.37407 -1.86517 
7.32 -2.34165 -1.35619 -1.81833 
7.34 -2.35031 -1.33809 -1.77133 
7.36 -2.3584 -1.31978 -1.72416 
7.38 -2.36591 -1.30127 -1.67684 
7.4 -2.37285 -1.28255 -1.62938 
7.42 -2.37921 -1.26364 -1.5818 
7.44 -2.385 -1.24455 -1.5341 
7.46 -2.39022 -1.22526 -1.48629 
7.48 -2.39488 -1.2058 -1.4384 
7.5 -2.39896 -1.18616 -1.39042 
7.52 -2.40248 -1.16635 -1.34237 
7.54 -2.40544 -1.14638 -1.29426 
7.56 -2.40784 -1.12625 -1.2461 
7.58 -2.40968 -1.10597 -1.19791 
7.6 -2.41096 -1.08554 -1.14969 
7.62 -2.41169 -1.06498 -1.10146 
7.64 -2.41187 -1.04427 -1.05322 
